reviewText,overall,product,sentiment,reviewTime,cleaned_text,processed_text,vader_compound,vader_pos,vader_neg,vader_neu,afinn_score,label
"Average quality, works as expected nothing more nothing less The battery life is average.",3,charger,neutral,2021-05-16,average quality works as expected nothing more nothing less the battery life is average,average quality work expected nothing nothing less battery life average,0.0,0.0,0.0,1.0,2.0,1
"Excellent build quality, fast delivery and works as described The screen quality is excellent.",4,monitor,positive,2022-05-14,excellent build quality fast delivery and works as described the screen quality is excellent,excellent build quality fast delivery work described screen quality excellent,0.8126,0.381,0.0,0.619,10.0,2
"This product is absolutely amazing, works perfectly and exceeded my expectations The screen quality is excellent.",4,tablet,positive,2022-10-31,this product is absolutely amazing works perfectly and exceeded my expectations the screen quality is excellent,product absolutely amazing work perfectly exceeded expectation screen quality excellent,0.9225,0.485,0.0,0.515,12.0,2
"Product is okay, nothing special but does the job adequately The price is average.",3,camera,neutral,2022-05-09,product is okay nothing special but does the job adequately the price is average,product okay nothing special job adequately price average,-0.0462,0.096,0.108,0.796,0.0,1
"Perfect product, exactly what I needed and arrived quickly The delivery is excellent.",4,smartphone,positive,2023-11-30,perfect product exactly what i needed and arrived quickly the delivery is excellent,perfect product exactly needed arrived quickly delivery excellent,0.8126,0.402,0.0,0.598,6.0,2
"Not worth the price, cheap materials and poor construction overall The delivery is terrible.",1,tablet,negative,2021-11-20,not worth the price cheap materials and poor construction overall the delivery is terrible,not worth price cheap material poor construction overall delivery terrible,-0.7824,0.0,0.417,0.583,-3.0,0
"Great quality for the price, very happy with my purchase The performance is excellent.",4,keyboard,positive,2021-12-05,great quality for the price very happy with my purchase the performance is excellent,great quality price happy purchase performance excellent,0.9152,0.517,0.0,0.483,11.0,2
"Neither good nor bad, average product with average performance The battery life is average.",3,speaker,neutral,2023-01-03,neither good nor bad average product with average performance the battery life is average,neither good nor bad average product average performance battery life average,-0.5824,0.0,0.285,0.715,0.0,1
"Amazing value for money, will definitely buy again from this seller The screen quality is excellent.",5,monitor,positive,2022-01-10,amazing value for money will definitely buy again from this seller the screen quality is excellent,amazing value money definitely buy seller screen quality excellent,0.9118,0.512,0.0,0.488,9.0,2
"Its fine, does what it says but there are better options available The screen quality is average.",3,headphones,neutral,2023-09-16,its fine does what it says but there are better options available the screen quality is average,fine say better option available screen quality average,0.6428,0.259,0.0,0.741,6.0,1
"Best purchase I have made this year, highly recommend to everyone The screen quality is excellent.",4,laptop,positive,2022-02-17,best purchase i have made this year highly recommend to everyone the screen quality is excellent,best purchase made year highly recommend everyone screen quality excellent,0.8932,0.451,0.0,0.549,10.0,2
"Horrible product, nothing like the description or photos shown The customer service is terrible.",1,keyboard,negative,2021-12-28,horrible product nothing like the description or photos shown the customer service is terrible,horrible product nothing like description photo shown customer service terrible,-0.8276,0.0,0.442,0.558,-4.0,0
"Best purchase I have made this year, highly recommend to everyone The screen quality is excellent.",4,camera,positive,2021-05-16,best purchase i have made this year highly recommend to everyone the screen quality is excellent,best purchase made year highly recommend everyone screen quality excellent,0.8932,0.451,0.0,0.549,10.0,2
